nombre,url,direccion,ciudad,provincia,telefono,productos
Excelentia,https://ar.prvademecum.com/laboratorio/excelentia-576/,Herrera 1855 Piso 1 Dto: 105,C.A.B.A.,,5263-0871,ARTROSTOP FORTE CALIENTE; ARTROSTOP GEL; ARTROSTOP MANOS CON GEL DICLOFENAC; ARTROSTOP T CALIENTE; DORMIRTE; EXPECTOSAN ANTITUSIVO; EXPECTOSAN EXTRA FORTE 200 NOVO; EXPECTOSAN GARGANTA; EXPECTOSAN HIERBAS Y MIEL; EXPECTOSAN NOVO TE CALIENTE; EXPECTOSAN PEDIATRICO; EXPECTOSAN TE CALIENTE; NODOLERTE; UÑA LIBRE DE HONGOS; VIENTRE PLANO VL
Amn,https://ar.prvademecum.com/laboratorio/amn-895/,Moreno 877 Piso 12,C.A.B.A.,,4341-4000,
Celnova,https://ar.prvademecum.com/laboratorio/celnova-948/,San Vladimiro 3056 2Aº 12,San Isidro,Bs. As.,3221-5414,AGUJAS BD ULTRAFINE; APOKINON; APOKINON STYLO; ARLEVERT; DPG; EDARANOVAG; GALVUS; GALVUS MET; JERINGAS BD ULTRAFINE; LEVENOVA; LYSODREN; MEPACT; METOPIRONE; NOZINAN; OGIVRI
Bioprof Bago,https://ar.prvademecum.com/laboratorio/bioprof-bago-423/,Terrada 1270,Capital,,4016-6200,ACTILUZOL; ANASTRADEX; ANDROSTAT; ANTIXAN; BENZIMIR; BIALKO; BIDROSTAT; BIOPONIB; BIOZANIB; CARBOXTIE; CARCIVAC; CLINID; COSMEGEN; DALCARA; DAPIBUS
Biotoscana,https://ar.prvademecum.com/laboratorio/biotoscana-843/,Martín Lezica 3028,San Isidro,Bs. As.,4719-1100,BUDENOFALK; CRESEMBA; SALOFALK; URSOFALK
Grimberg,https://ar.prvademecum.com/laboratorio/grimberg-541/,Lerma 426,Capital,,4777-2022/1600,
Kriler,https://ar.prvademecum.com/laboratorio/kriler-1024/,Cuba 2482 3-B,CABA,,1169067052,
Reckitt Benck ,https://ar.prvademecum.com/laboratorio/reckitt-benck--47/,Ruta Provincial Nº 36 y Diag. Pto.Moreno 8300,Florencio Varela Ingeniero Allan,Bs. As.,4229-4803/4912,CARAMELOS STREPSILS; CARAMELOS STREPSILS PLUS; ESPADOL; GAVISCON NF; STREPSILS INTENSIVE CARAMELOS
Gezzi,https://ar.prvademecum.com/laboratorio/gezzi-133/,14 de Julio 855 PB Dto. 2,Capital,,4555-3366 (Líneas rotativas),ALLERPLUS; ANTIHEMORROIDAL GEZZI PLUS; APOFARM; ARCELIGASOL REDUCTORA; BROMHEXINA GEZZI; CALMOFLEX GEL; CLOTRIMAZOL GEZZI; COLIRIA LAGRIMAS; DOCTOR PIES HONGOS; ESPAVEN SEC; HERBATOL MIEL FORTE; INMUNOGRIP PLUS; LORATADINA GEZZI; MANZAN; MANZAN PLUS
Tecnonuclear,https://ar.prvademecum.com/laboratorio/tecnonuclear-1039/,Arias 4176,,Capital federal,11-4545-6005,GADO-TEC
Organon Arg,https://ar.prvademecum.com/laboratorio/organon-arg-210/,Blas Parera 3551 Piso 4 - of.101,Olivos,Bs. As.,+541122068918,ARCOXIA; CELESTONE; CELESTONE CRONODOSE; CERAZETTE; CO-RENITEC; COZAAREX; COZAAREX D 100/12.5MG; COZAAREX D 100/25MG; COZAAREX D 50/12.5MG; DIPROGENTA; DIPROSONE; ELOCON; ELONVA; EZETROL; FELBAMYL
Aspen,https://ar.prvademecum.com/laboratorio/aspen-18/,Remedios 3439 /43,Capital,,4637-8850 (Int. 133),ANASKEBIR; AZANIR; BITAKEBIR; BORMIB; CALEFIR; CARBOKEBIR; CATEPEN; CRIBINA; DASAN; DERTIDE; DOCEKEBIR; DOXOKEBIR; EMATROD; ERATANIL; ERLONIX
